Year,AnnÈe,ISO,Jurisdiction,Juridiction,Cause,Origine,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de donnÈes
1990,1990,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2385.4,a,2385.4,a
1990,1990,AB,Alberta,Alberta,Lightning,Foudre,30890.7,a,30890.7,a
1990,1990,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,808.8,a,808.8,a
1991,1991,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2260.5,a,2260.5,a
1991,1991,AB,Alberta,Alberta,Lightning,Foudre,3769.3,a,3769.3,a
1991,1991,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,135,a,135,a
1992,1992,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2002.2,a,2002.2,a
1992,1992,AB,Alberta,Alberta,Lightning,Foudre,1075.2,a,1075.2,a
1992,1992,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,470.6,a,470.6,a
1993,1993,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,1138.61,a,1138.61,a
1993,1993,AB,Alberta,Alberta,Lightning,Foudre,24892.7,a,24892.7,a
1993,1993,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,29.1,a,29.1,a
1994,1994,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2484.8,a,2484.8,a
1994,1994,AB,Alberta,Alberta,Lightning,Foudre,27057.68,a,27057.68,a
1994,1994,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,39.75,a,39.75,a
1995,1995,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,7886.62,a,7886.62,a
1995,1995,AB,Alberta,Alberta,Lightning,Foudre,327019.99,a,327019.99,a
1995,1995,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,3042.95,a,3042.95,a
1996,1996,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,655.24,a,655.24,a
1996,1996,AB,Alberta,Alberta,Lightning,Foudre,1281.76,a,1281.76,a
1996,1996,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,24.39,a,24.39,a
1997,1997,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,4383.07,a,4383.07,a
1997,1997,AB,Alberta,Alberta,Lightning,Foudre,322.27,a,322.27,a
1997,1997,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,19.61,a,19.61,a
1998,1998,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,74976.88,a,74976.88,a
1998,1998,AB,Alberta,Alberta,Lightning,Foudre,651766.17,a,651766.17,a
1998,1998,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,225.02,a,225.02,a
1999,1999,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,3722.86,a,3722.86,a
1999,1999,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,0,a,0,a
1999,1999,AB,Alberta,Alberta,Lightning,Foudre,116724.7,a,116724.7,a
1999,1999,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,57.21,a,57.21,a
2000,2000,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,4759.14,a,4759.14,a
2000,2000,AB,Alberta,Alberta,Lightning,Foudre,9958,a,9958,a
2000,2000,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,18.76,a,18.76,a
2001,2001,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,137095.04,a,137095.04,a
2001,2001,AB,Alberta,Alberta,Lightning,Foudre,16932.3,a,16932.3,a
2001,2001,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,76.39,a,76.39,a
2002,2002,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,247826.19,a,247826.19,a
2002,2002,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,7,a,7,a
2002,2002,AB,Alberta,Alberta,Lightning,Foudre,248579.43,a,248579.43,a
2002,2002,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,6.59,a,6.59,a
2003,2003,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,3575.9,a,3575.9,a
2003,2003,AB,Alberta,Alberta,Lightning,Foudre,51372.71,a,51372.71,a
2003,2003,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,19958.31,a,19958.31,a
2004,2004,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,4207.78,a,4207.78,a
2004,2004,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,0.2,a,0.2,a
2004,2004,AB,Alberta,Alberta,Lightning,Foudre,231905.13,a,231905.13,a
2004,2004,AB,Alberta,Alberta,Reburn,Rebr˚lage,41.01,a,41.01,a
2004,2004,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,9.26,a,9.26,a
2005,2005,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,12036.34,a,12036.34,a
2005,2005,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,3.91,a,3.91,a
2005,2005,AB,Alberta,Alberta,Lightning,Foudre,48640.28,a,48640.28,a
2005,2005,AB,Alberta,Alberta,Reburn,Rebr˚lage,0.12,a,0.12,a
2005,2005,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,45.49,a,45.49,a
2006,2006,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,21166.12,a,21166.12,a
2006,2006,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,1.79,a,1.79,a
2006,2006,AB,Alberta,Alberta,Lightning,Foudre,97576.92,a,97576.92,a
2006,2006,AB,Alberta,Alberta,Reburn,Rebr˚lage,33.26,a,33.26,a
2006,2006,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,23.66,a,23.66,a
2007,2007,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,857.97,a,857.97,a
2007,2007,AB,Alberta,Alberta,Lightning,Foudre,102757.68,a,102757.68,a
2007,2007,AB,Alberta,Alberta,Reburn,Rebr˚lage,1.2,a,1.2,a
2007,2007,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,2.15,a,2.15,a
2008,2008,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2163.68,a,2163.68,a
2008,2008,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,42.11,a,42.11,a
2008,2008,AB,Alberta,Alberta,Lightning,Foudre,18522.77,a,18522.77,a
2008,2008,AB,Alberta,Alberta,Reburn,Rebr˚lage,8.42,a,8.42,a
2008,2008,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,51.85,a,51.85,a
2009,2009,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2885.58,a,2885.58,a
2009,2009,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,735.87,a,735.87,a
2009,2009,AB,Alberta,Alberta,Lightning,Foudre,63251.5,a,63251.5,a
2009,2009,AB,Alberta,Alberta,Reburn,Rebr˚lage,5.97,a,5.97,a
2009,2009,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,23.92,a,23.92,a
2010,2010,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2268.74,a,2268.74,a
2010,2010,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,1.5,a,1.5,a
2010,2010,AB,Alberta,Alberta,Lightning,Foudre,78830.84,a,78830.84,a
2010,2010,AB,Alberta,Alberta,Reburn,Rebr˚lage,138.82,a,138.82,a
2010,2010,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,83.14,a,83.14,a
2011,2011,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,128203.33,a,128203.33,a
2011,2011,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,0.6,a,0.6,a
2011,2011,AB,Alberta,Alberta,Lightning,Foudre,74245.95,a,74245.95,a
2011,2011,AB,Alberta,Alberta,Reburn,Rebr˚lage,0.16,a,0.16,a
2011,2011,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,603438.14,a,603438.14,a
2012,2012,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,7553,a,7553,a
2012,2012,AB,Alberta,Alberta,Lightning,Foudre,377851.12,a,377851.12,a
2012,2012,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,414.3,a,414.3,a
2013,2013,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2101,a,2101,a
2013,2013,AB,Alberta,Alberta,Lightning,Foudre,17372.64,a,17372.64,a
2013,2013,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,105.2,a,105.2,a
2014,2014,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,1203.51,a,1203.51,a
2014,2014,AB,Alberta,Alberta,Lightning,Foudre,22470.08,a,22470.08,a
2014,2014,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,19.12,a,19.12,a
2015,2015,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,38610.55,a,38610.55,a
2015,2015,AB,Alberta,Alberta,Lightning,Foudre,427638.87,a,427638.87,a
2015,2015,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,67.88,a,67.88,a
2016,2016,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,1134,a,1134,a
2016,2016,AB,Alberta,Alberta,Lightning,Foudre,20015.05,a,20015.05,a
2016,2016,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,485907.99,a,485907.99,a
2017,2017,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,6832.69,a,6832.69,a
2017,2017,AB,Alberta,Alberta,Lightning,Foudre,42316.3,a,42316.3,a
2017,2017,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,84.32,a,84.32,a
2018,2018,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,1887.8,a,1887.8,a
2018,2018,AB,Alberta,Alberta,Lightning,Foudre,57901.81,a,57901.81,a
2018,2018,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,395.61,a,395.61,a
2019,2019,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,3025.94,a,3025.94,a
2019,2019,AB,Alberta,Alberta,Lightning,Foudre,127692.59,a,127692.59,a
2019,2019,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,0.1,a,0.1,a
2019,2019,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,755224.61,a,755224.61,a
1990,1990,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,40278.3,a,40278.3,a
1990,1990,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,35503.5,a,35503.5,a
1991,1991,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,10923.6,a,10923.6,a
1991,1991,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,13785.2,a,13785.2,a
1992,1992,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,15559.9,a,15559.9,a
1992,1992,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,14892.9,a,14892.9,a
1993,1993,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,3400.2,a,3400.2,a
1993,1993,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,1783.2,a,1783.2,a
1994,1994,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,12017.1,a,12017.1,a
1994,1994,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,17738.2,a,17738.2,a
1995,1995,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,19714.4,a,19714.4,a
1995,1995,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,28365.6,a,28365.6,a
1996,1996,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,6579.8,a,6579.8,a
1996,1996,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,14089.3,a,14089.3,a
1997,1997,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,2635.4,a,2635.4,a
1997,1997,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,332.4,a,332.4,a
1998,1998,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,6552.156,a,6552.156,a
1998,1998,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,70015.188,a,70015.188,a
1999,1999,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,4834,a,4834,a
1999,1999,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,6721.41,a,6721.41,a
2000,2000,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,11361.754,a,11361.754,a
2000,2000,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,6190.258,a,6190.258,a
2001,2001,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,4843.569,a,4843.569,a
2001,2001,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,4983.38,a,4983.38,a
2002,2002,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,4353.763,a,4353.763,a
2002,2002,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,4216.797,a,4216.797,a
2003,2003,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,81744.683,a,81744.683,a
2003,2003,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,183168.879,a,183168.879,a
2004,2004,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,2175.187,a,2175.187,a
2004,2004,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,218112.29,a,218112.29,a
2005,2005,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,7844.705,a,7844.705,a
2005,2005,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,27097.361,a,27097.361,a
2006,2006,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,9454.723,a,9454.723,a
2006,2006,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,129696.069,a,129696.069,a
2007,2007,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,12242.438,a,12242.438,a
2007,2007,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,17243.066,a,17243.066,a
2008,2008,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,8649.034,a,8649.034,a
2008,2008,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,4661.254,a,4661.254,a
2008,2008,BC,British Columbia,Colombie-Britannique,Unspecified,IndÈterminÈe,37,a,37,a
2009,2009,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,26716.472,a,26716.472,a
2009,2009,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,220626.996,a,220626.996,a
2010,2010,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,10435.463,a,10435.463,a
2010,2010,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,326731.735,a,326731.735,a
2011,2011,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,1183.169,a,1183.169,a
2011,2011,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,11379.716,a,11379.716,a
2012,2012,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,5606.892,a,5606.892,a
2012,2012,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,96509.765,a,96509.765,a
2013,2013,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,4954.336,a,4954.336,a
2013,2013,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,13348.763,a,13348.763,a
2014,2014,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,8085.204,a,8085.204,a
2014,2014,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,360840.982,a,360840.982,a
2015,2015,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,57126.995,a,57126.995,a
2015,2015,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,223737.266,a,223737.266,a
2016,2016,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,93320.648,a,93320.648,a
2016,2016,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,7056.983,a,7056.983,a
2017,2017,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,225057.873,a,225057.873,a
2017,2017,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,991081.007,a,991081.007,a
2017,2017,BC,British Columbia,Colombie-Britannique,Unspecified,IndÈterminÈe,0.328,a,0.328,a
2018,2018,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,121607.451,a,121607.451,a
2018,2018,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,1229431.195,a,1229431.195,a
2018,2018,BC,British Columbia,Colombie-Britannique,Unspecified,IndÈterminÈe,2963.333,a,2963.333,a
2019,2019,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,4665.837,a,4665.837,a
2019,2019,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,15584.59,a,15584.59,a
2019,2019,BC,British Columbia,Colombie-Britannique,Unspecified,IndÈterminÈe,1256.097,a,1256.097,a
2020,2020,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,86.538,a,86.538,a
2020,2020,BC,British Columbia,Colombie-Britannique,Unspecified,IndÈterminÈe,1.018,a,1.018,a
1990,1990,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,5719,a,5719,a
1990,1990,MB,Manitoba,Manitoba,Lightning,Foudre,10426,a,10426,a
1991,1991,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,20668.1,a,20668.1,a
1991,1991,MB,Manitoba,Manitoba,Lightning,Foudre,130317.6,a,130317.6,a
1992,1992,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,90957.6,a,90957.6,a
1992,1992,MB,Manitoba,Manitoba,Lightning,Foudre,342816.2,a,342816.2,a
1993,1993,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,5117.4,a,5117.4,a
1993,1993,MB,Manitoba,Manitoba,Lightning,Foudre,62157,a,62157,a
1994,1994,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,471729.6,a,471729.6,a
1994,1994,MB,Manitoba,Manitoba,Lightning,Foudre,957056.1,a,957056.1,a
1995,1995,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,7366.5,a,7366.5,a
1995,1995,MB,Manitoba,Manitoba,Lightning,Foudre,881870.6,a,881870.6,a
1995,1995,MB,Manitoba,Manitoba,Unspecified,IndÈterminÈe,0.1,a,0.1,a
1996,1996,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,2882.7,a,2882.7,a
1996,1996,MB,Manitoba,Manitoba,Lightning,Foudre,122443.7,a,122443.7,a
1997,1997,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,3648.7,a,3648.7,a
1997,1997,MB,Manitoba,Manitoba,Lightning,Foudre,38150.4,a,38150.4,a
1998,1998,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,4837.8,a,4837.8,a
1998,1998,MB,Manitoba,Manitoba,Lightning,Foudre,445734.3,a,445734.3,a
1999,1999,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,53387.8,a,53387.8,a
1999,1999,MB,Manitoba,Manitoba,Lightning,Foudre,57065.7,a,57065.7,a
2000,2000,MB,Manitoba,Manitoba,Unspecified,IndÈterminÈe,111699.272,a,111699.272,a
2001,2001,MB,Manitoba,Manitoba,Unspecified,IndÈterminÈe,80521.829,a,80521.829,a
2002,2002,MB,Manitoba,Manitoba,Unspecified,IndÈterminÈe,95404.79,a,95404.79,a
2003,2003,MB,Manitoba,Manitoba,Unspecified,IndÈterminÈe,938176.427,a,938176.427,a
2004,2004,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,362,a,362,a
2004,2004,MB,Manitoba,Manitoba,Lightning,Foudre,18074.1,a,18074.1,a
2004,2004,MB,Manitoba,Manitoba,Unspecified,IndÈterminÈe,8384.3,a,8384.3,a
2005,2005,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,3585.2,a,3585.2,a
2005,2005,MB,Manitoba,Manitoba,Lightning,Foudre,69095.4,a,69095.4,a
2006,2006,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,6613.3,a,6613.3,a
2006,2006,MB,Manitoba,Manitoba,Lightning,Foudre,159437,a,159437,a
2007,2007,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,4912.9,a,4912.9,a
2007,2007,MB,Manitoba,Manitoba,Lightning,Foudre,331367.9,a,331367.9,a
2008,2008,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,73198.2,a,73198.2,a
2008,2008,MB,Manitoba,Manitoba,Lightning,Foudre,77474.4,a,77474.4,a
2009,2009,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,2230.2,a,2230.2,a
2009,2009,MB,Manitoba,Manitoba,Lightning,Foudre,641.8,a,641.8,a
2010,2010,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,22395.4,a,22395.4,a
2010,2010,MB,Manitoba,Manitoba,Lightning,Foudre,165098.7,a,165098.7,a
2011,2011,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,26229.1,a,26229.1,a
2011,2011,MB,Manitoba,Manitoba,Lightning,Foudre,100615.2,a,100615.2,a
2012,2012,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,21026.9,a,21026.9,a
2012,2012,MB,Manitoba,Manitoba,Lightning,Foudre,195861.4,a,195861.4,a
2013,2013,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,895.6,a,895.6,a
2013,2013,MB,Manitoba,Manitoba,Lightning,Foudre,1114519.2,a,1114519.2,a
2014,2014,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,1171.5,a,1171.5,a
2014,2014,MB,Manitoba,Manitoba,Lightning,Foudre,37936.4,a,37936.4,a
2015,2015,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,6778.6,a,6778.6,a
2015,2015,MB,Manitoba,Manitoba,Lightning,Foudre,61353,a,61353,a
2016,2016,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,6700.6,a,6700.6,a
2016,2016,MB,Manitoba,Manitoba,Lightning,Foudre,31706.9,a,31706.9,a
2017,2017,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,1365.9,a,1365.9,a
2017,2017,MB,Manitoba,Manitoba,Lightning,Foudre,221813.6,a,221813.6,a
2018,2018,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,78900.9,a,78900.9,a
2018,2018,MB,Manitoba,Manitoba,Lightning,Foudre,155320.8,a,155320.8,a
2019,2019,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,7936.2,a,7936.2,a
2019,2019,MB,Manitoba,Manitoba,Lightning,Foudre,63317.9,a,63317.9,a
2019,2019,MB,Manitoba,Manitoba,Unspecified,IndÈterminÈe,33.1,a,33.1,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,6188.1,a,6188.1,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,6.9,a,6.9,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,23.4,a,23.4,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,3417.3,a,3417.3,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,56.7,a,56.7,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,85,a,85,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,5330.9,a,5330.9,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,32.2,a,32.2,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,35.8,a,35.8,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,417,a,417,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,323.2,a,323.2,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,38.1,a,38.1,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,752,a,752,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,2.9,a,2.9,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,98.4,a,98.4,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,408.5,a,408.5,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,45.9,a,45.9,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,115.1,a,115.1,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,1027.5,a,1027.5,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,908.1,a,908.1,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,81.2,a,81.2,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,219.8,a,219.8,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,17.1,a,17.1,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,27,a,27,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,274.9,a,274.9,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,4.1,a,4.1,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,133.4,a,133.4,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,831,a,831,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,545.7,a,545.7,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,76.1,a,76.1,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,370,a,370,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,70.8,a,70.8,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,50.3,a,50.3,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,473.3,a,473.3,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,25.3,a,25.3,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,263.9,a,263.9,a
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,255.5,a,255.5,a
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,33,a,33,a
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,37,a,37,a
